INFO:trainer_utils.supervised_trainer:Optimizer: Adam (
Parameter Group 0
    amsgrad: False
    betas: (0.9, 0.999)
    eps: 1e-08
    lr: 0.001
    weight_decay: 0
), Scheduler: None
INFO:trainer_utils.supervised_trainer:Epoch: 1, Step: 0
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 20.3439
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 4.9477
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 4.3560
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 3.6449
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 3.2115
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.9872
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.8925
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.7075
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.6998
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.5835
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.4921
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.3676
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.4145
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.2690
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.2014
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.1822
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.1576
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.1172
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.1420
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.1116
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.0143
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 2.0009
INFO:trainer_utils.supervised_trainer:Progress: 0%, Train Perplexity: 1.9958
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.9977
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.9240
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.9218
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.8964
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.8874
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.8423
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.8624
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.8173
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.8210
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.7310
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.7621
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.7089
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.7019
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.6335
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.6539
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.6525
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.6414
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.6246
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.6098
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.5849
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.5850
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.5836
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.5503
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.5445
INFO:trainer_utils.supervised_trainer:Progress: 1%, Train Perplexity: 1.5356
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.5378
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.5444
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.5306
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4971
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.5173
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.5002
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4799
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4833
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4899
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4663
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4678
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4532
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4612
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4582
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4434
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4390
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4458
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4368
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4184
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4484
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4221
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.3988
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4488
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4117
INFO:trainer_utils.supervised_trainer:Progress: 2%, Train Perplexity: 1.4014
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3738
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3979
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3845
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3686
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3964
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3671
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3643
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3703
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3757
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3678
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3642
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3480
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3493
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3309
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3512
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3500
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3360
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3564
INFO:trainer_utils.supervised_trainer:Progress: 3%, Train Perplexity: 1.3387
